isbn13,title,authors,publication_date
9780739474792,Enchantment: The Life of Audrey Hepburn,Donald Spoto,4/2/2007
9780815411833,Marilyn Monroe: The Biography,Donald Spoto,7/17/2001
9780316159791,Cross (Alex Cross  #12),James Patterson,11/13/2006
9780316013932,Judge & Jury,James Patterson/Andrew Gross,7/31/2006
9780316014793,The 6th Target (Women's Murder Club  #6),James Patterson/Maxine Paetro,5/8/2007
9780316117364,The Quickie,James Patterson/Michael Ledwidge,7/2/2007
9780316014502,You've Been Warned,James Patterson/Howard Roughan,9/10/2007
9780446696630,2nd Chance (Women's Murder Club  #2),James Patterson/Andrew Gross,5/20/2005
9780446696616,1st to Die (Women's Murder Club  #1),James Patterson,5/20/2005
9780446600477,Season of the Machete,James Patterson,4/1/1995
9780316155595,School's Out—Forever (Maximum Ride  #2),James Patterson,5/23/2006
9780446692656,Jack & Jill (Alex Cross  #3),James Patterson,8/1/2003
9780446606387,The Midnight Club,James Patterson,6/1/1999
9780446692649,Cat & Mouse (Alex Cross #4),James Patterson,8/1/2003
9780446608817,Pop Goes the Weasel (Alex Cross  #5),James Patterson,10/1/2000
9780747266990,Roses Are Red (Alex Cross  #6),James Patterson,6/25/2001
9780446692632,Along Came a Spider (Alex Cross  #1),James Patterson,8/1/2003
9780446609326,Black Friday,James Patterson,4/1/2000
9780446613378,Honeymoon (Honeymoon  #1),James Patterson/Howard Roughan,1/1/2007
9780446677387,Kiss the Girls (Alex Cross  #2),James Patterson,7/1/2000
9780446600453,The Thomas Berryman Number,James Patterson,4/1/1996
9780446613354,London Bridges (Alex Cross  #10),James Patterson,10/1/2005
9780446617796,The Angel Experiment (Maximum Ride  #1),James Patterson,5/5/2006
9780446696647,3rd Degree (Women's Murder Club  #3),James Patterson/Andrew Gross,5/20/2005
9780755300204,The Jester,James Patterson/Andrew Gross,3/1/2004
9781568654232,See How They Run,James Patterson,7/8/1997
9780316693356,Miracle on the 17th Green (Travis McKinley  #1),James Patterson/Peter de Jonge,5/5/1999
9780446676434,When the Wind Blows (When the Wind Blows  #1),James Patterson,4/1/2000
9780316000611,SantaKid,James Patterson/Michael Garland,11/1/2004
9780064435260,A Little Prairie House,Laura Ingalls Wilder/Renée Graef,3/21/1999
9780671009441,Private Parts,Howard Stern,3/1/1997
9780747526032,The Private Parts of Women,Lesley Glaister,9/1/2002
9781563899652,Green Arrow  Vol. 1: Quiver,Kevin Smith/Phil Hester/Ande Parks,12/16/2008
9780440238195,Quiver,Stephanie Spinner,4/12/2005
9780312937690,A Quiver Full of Arrows,Jeffrey Archer,8/30/2005
9781400066100,Celebrations: Rituals of Peace and Prayer,Maya Angelou,10/24/2006
9780679643258,The Collected Autobiographies of Maya Angelou,Maya Angelou,9/21/2004
9780553380170,Wouldn't Take Nothing for My Journey Now,Maya Angelou,5/12/1997
9780375505966,And Still I Rise,Maya Angelou/Linda Sunshine/Diego Rivera,8/7/2001
9781556702884,Life Doesn't Frighten Me,Maya Angelou/Jean-Michel Basquiat/Sara Jane Boyers,2/6/1996
9788497644747,Cumbres borrascosas,Emily Brontë,5/28/2006
9780300091694,Dreaming in Pictures: The Photography,Lewis Carroll/Douglas R. Nickel,8/11/2002
9780810935204,Lewis Carroll's Jabberwocky: A Book of Brillig Dioramas,Lewis Carroll/Graeme Base,3/30/1996
9780806510750,The Collected Short Stories of Maxim Gorky,Maxim Gorky/Avrahm Yarmolinsky/Moura Budberg,8/18/1988
9780312978334,Name Dropping,Jane Heller,3/15/2001
9780698116412,Many Luscious Lollipops: A Book About Adjectives,Ruth Heller,2/23/1998
9780312421991,What Was She Thinking? [Notes on a Scandal],Zoë Heller,6/1/2004
9780786942701,Night of Long Shadows (Eberron: Inquisitives  #2),Paul Crilley,5/8/2007
9780140446364,Poetics,Aristotle/Malcolm Heath,9/26/1996
9780674678569,Poetics of Music in the Form of Six Lessons,Igor Stravinsky/George Seferis/Arthur Knodel/Ingolf Dahl,2/26/1970
9780802441416,An Introduction to the Old Testament Poetic Books,C. Hassell Bullock,8/8/1988
9780714831671,Mondrian,John Milner/Piet Mondrian,4/1/1995
9780300114409,Writings on Art,Mark Rothko/Miguel López-Remiro,4/28/2006
9780306807251,The Legacy of Mark Rothko,Lee Seldes,8/22/1996
9780810915879,Mark Rothko,Diane Waldman/Bernard Malamud,9/1/1978
9780500282755,Mark Rothko  1903 1970,Diane Waldman,5/14/2001
9780132221863,A World of Art,Henry M. Sayre,12/22/2006
9780674995642,Olympian Odes. Pythian Odes,Pindar/William H. Race,4/15/1997
9780140442090,The Odes,Pindar/Cecil Maurice Bowra/Daniel C. Snell/Dawson William Turner/Maehler/Abraham Moore,9/30/1982
9780460876742,The Odes and Selected Fragments,Pindar/G.S. Conway/Richard Stoneman,3/1/1998
9780674995345,Nemean Odes. Isthmian Odes. Fragments,Pindar/William H. Race,4/15/1997
9780060575816,Sabriel (Abhorsen  #1),Garth Nix,8/17/2004
9780812216509,Euripides 3: Alcestis/Daughters of Troy/The Phoenician Women/Iphigenia at Aulis/Rhesus,Euripides/David R. Slavitt/Smith Palmer Bovie/Fred Chappell/Mark Rudman/Elaine Terranova/Richard Elman/Katharine Washburn/George D. Economou,6/1/1998
9780761555520,Eragon: Prima Official Game Guide,Prima Publishing,11/14/2006
9780446691093,Battlefield of the Mind: Winning the Battle in Your Mind,Joyce Meyer,10/1/2002
9780373771370,A Lady At Last (deWarenne Dynasty  #7),Brenda Joyce,11/21/2006
9780394700137,James Joyce's Ulysses,Stuart Gilbert,1/12/1955
9781582433226,A Complicated Kindness,Miriam Toews,8/17/2005
9781897082270,A Complicated Kindness (Bookclub-In-A-Box),Marilyn Herbert/Miriam Toews,8/30/2006
9780394571072,Race of Scorpions (The House of Niccolo  #3),Dorothy Dunnett,5/5/1990
9780968303177,Vinyl Cafe Odd Jobs,Stuart McLean,6/15/2005
9780968303184,Vinyl Cafe Coast to Coast Story Service,Stuart McLean,7/15/2005
9780670044368,Vinyl Cafe Diaries (Vinyl Cafe  #4),Stuart McLean,11/28/2003
9780425212783,Checkmate (Tom Clancy's Splinter Cell  #3),David  Michaels/Tom Clancy,11/7/2006
9780425204221,Operation Barracuda (Tom Clancy's Splinter Cell  #2),David  Michaels/Raymond Benson/Tom Clancy,11/1/2005
9780425201688,Splinter Cell (Tom Clancy's Splinter Cell  #1),David  Michaels/Raymond Benson/Tom Clancy,12/6/2004
9780575402904,Dark Visions,Douglas E. Winter/Dan Simmons/Stephen King/George R.R. Martin,8/10/2000
9780674035010,Ancilla to the Pre-Socratic Philosophers,Kathleen Banks Freeman/Hermann Alexander Diels,8/8/2003
9780024266408,The Presocratics,Philip Ellis Wheelwright,1/11/1966
9780521274555,The Presocratic Philosophers,Geoffrey S. Kirk/John Earle Raven/Malcolm Schofield,12/29/1983
9780192840943,Presocratic Philosophy: A Very Short Introduction,Catherine Osborne,9/16/2004
9780415050791,The Presocratic Philosophers,Jonathan Barnes/Ted Honderich,9/16/1982
9780192824547,The First Philosophers: The Presocratics and Sophists,Robin Waterfield/Anaximander/Anaximenes/Empedocles/Gorgias of Leontini/Heraclitus/Parmenides/Protagoras/Pythagoras/Thales/Thrasymachus/Zeno of Elea,11/30/2000
9780751504385,Skeleton Crew,Stephen King,5/13/1993
9780385129916,Night Shift,Stephen King,10/1/1993
9780670691999,The Talisman,Stephen King/Peter Straub,11/8/1984
9780307376589,El retrato de Rose Madder,Stephen King/Bettina Blanch Tyroller,10/3/2006
9785550707005,The Dark Half,Stephen King,11/1/1989
9780743233606,La Milla Verde,Stephen King/María Eugenia Ciocchini Suárez,3/26/2002
9780671032647,Storm of the Century,Stephen King,2/1/1999
9780618195633,Girls Think of Everything: Stories of Ingenious Inventions by Women,Catherine Thimmesh/Melissa Sweet,3/11/2002
9780743222334,How Dogs Think: What the World Looks Like to Them and Why They Act the Way They Do,Stanley Coren,6/6/2005
9780440508823,The How to Think Like Leonardo da Vinci Workbook: Your Personal Companion to How to Think Like Leonardo da Vinci,Michael J. Gelb,6/15/1999
9780142001349,Brit-Think  Ameri-Think: A Transatlantic Survival Guide,Jane Walmsley,2/25/2003
9780515094794,What You Think of Me Is None of My Business,Terry Cole-Whittaker,4/1/1988
9780060916091,Think on These Things,Jiddu Krishnamurti/D. Rajagopal,10/11/1989
9780965013017,Think Like a Cat: How to Raise a Well-Adjusted Cat—Not a Sour Puss,Pam Johnson-Bennett,1/24/2000
9780312354374,Think Like a Guy: How to Get a Guy by Thinking Like One,Giuliana DePandi,6/27/2006
9780800638184,How to Think Theologically,Howard W. Stone/James O. Duke,1/1/2006
9781421506555,JoJo's Bizarre Adventure  Vol. 6 (Stardust Crusaders  #6),Hirohiko Araki,12/5/2006
9781421506531,JoJo's Bizarre Adventure  Vol. 4 (Stardust Crusaders  #4),Hirohiko Araki,6/6/2006
9781421506548,JoJo's Bizarre Adventure  Vol. 5 (Stardust Crusaders  #5),Hirohiko Araki,9/5/2006
9781421510781,JoJo's Bizarre Adventure  Vol. 7 (Stardust Crusaders  #7),Hirohiko Araki,4/3/2007
9782290318041,Jojo's Bizarre Adventure  Tome 4: Dans la salle du dragon à deux têtes (Phantom Blood  #4),Hirohiko Araki,4/29/2002
9781421510798,JoJo's Bizarre Adventure  Vol. 8 (Stardust Crusaders  #8),Hirohiko Araki,8/7/2007
9782290328309,Jojo's Bizarre Adventure  Tome 17: L'Amoureux terrible (Stardust Crusaders  #5),Hirohiko Araki/Hirohiko Araki,5/23/2003
9782290318492,Jojo's Bizarre Adventure  Tome 6: Jojo contre la forme de vie ultime (Battle Tendency  #1),Hirohiko Araki,6/26/2002
9780671455774,Fevre Dream,George R.R. Martin,1/1/1982
9780976401100,The Hedge Knight (The Tales of Dunk and Egg  #1),Ben Avery/Mike S. Miller/George R.R. Martin/Mike Crowell,2/23/2005
9780739308707,A Clash of Kings (A Song of Ice and Fire  #2),George R.R. Martin/Roy Dotrice,2/17/2004
9781592220045,Tuf Voyaging,George R.R. Martin,11/10/2004
9780312869595,Jack of Kinrowan: Jack the Giant-Killer / Drink Down the Moon,Charles de Lint,9/5/2000
9781565841000,Lies My Teacher Told Me: Everything Your History Textbook Got Wrong,James W. Loewen,8/4/1995
9781565840089,Lies My Teacher Told Me about Christopher Columbus: What Your History Books Got Wrong,James W. Loewen,10/1/2006
9783856305581,C.G. Jung and Hermann Hesse: A Book of Two Friendships,Miguel Serrano,1/1/1997
9780312421687,The Journey to the East,Hermann Hesse/Hilda Rosner,2/1/2003
9780060747220,Son of a Witch (The Wicked Years  #2),Gregory Maguire/Douglas Smith/Jelena Bojić,9/26/2006
9780143036661,March,Geraldine Brooks,1/31/2006
9780385483735,Foreign Correspondence: A Pen Pal's Journey from Down Under to All Over,Geraldine Brooks,1/19/1999
9782290061244,Jojo's Bizarre Adventure  Tome 1: Dio  L'envahisseur (Phantom Blood  #1),Hirohiko Araki,1/28/2002
9782290329450,Jojo's Bizarre Adventure  Tome 19: La Lampe Magique (Stardust Crusaders  #7),Hirohiko Araki/Hirohiko Araki,7/15/2003
9782290328057,Jojo's Bizarre Adventure  Tome 14: Le Navire désert et le Singe (Stardust Crusaders  #2),Hirohiko Araki/Hirohiko Araki,2/25/2003
9782290328026,Jojo's Bizarre Adventure  Tome 13: Le Maléfice de Dio (Stardust Crusaders  #1),Hirohiko Araki/Hirohiko Araki,1/28/2003
9782290318232,Jojo's Bizarre Adventure  Tome 5: La dernière onde (Phantom Blood  #5),Hirohiko Araki,5/23/2002
9782290319369,Jojo's Bizarre Adventure  Tome 9: Ruée vers la falaise de la mort! (Battle Tendency  #4),Hirohiko Araki,9/27/2002
9782290328316,Jojo's Bizarre Adventure  Tome 18: Death Thirteen (Stardust Crusaders  #6),Hirohiko Araki/Hirohiko Araki,6/27/2003
9782290320105,Jojo's Bizarre Adventure  Tome 11: Le guerrier qui retourne au vent (Battle Tendency  #6),Hirohiko Araki,11/26/2002
9782290328293,Jojo's Bizarre Adventure  Tome 16: L'Expérience du combat ! (Stardust Crusaders  #4),Hirohiko Araki/Hirohiko Araki,4/29/2003
9782290328224,Jojo's Bizarre Adventure  Tome 14: Le revolver est plus fort que l'épée (Stardust Crusaders  #3),Hirohiko Araki/Hirohiko Araki,3/25/2003
9781421505398,From Far Away  Vol. 12,Kyoko Hikawa/Yuko Sawada/Freeman Wong,9/12/2006
9781421505404,From Far Away  Vol. 13,Kyoko Hikawa/Yuko Sawada/Freeman Wong,11/14/2006
9781421505411,From Far Away  Vol. 14,Kyoko Hikawa/Yuko Sawada/Freeman Wong,1/9/2007
9780152052089,Very Far Away from Anywhere Else,Ursula K. Le Guin,10/1/2004
9781591165835,Vagabond  Volume 20,Takehiko Inoue,3/15/2005
9784592175438,彼方から 13,Kyoko Hikawa,8/10/2002
9780345485281,Tsubasa: RESERVoir CHRoNiCLE  Vol. 11,CLAMP/William Flanagan,10/31/2006
9780345471833,Tsubasa: RESERVoir CHRoNiCLE  Vol. 3,CLAMP/William Flanagan,10/26/2004
9780345470577,Tsubasa: RESERVoir CHRoNiCLE  Vol. 1,CLAMP/Anthony Gerard,4/27/2004
9780345484307,Tsubasa: RESERVoir CHRoNiCLE  Vol. 10,CLAMP/William Flanagan,7/25/2006
9780345484284,Tsubasa: RESERVoir CHRoNiCLE  Vol. 8,CLAMP/William Flanagan,1/31/2006
9780345477934,Tsubasa: RESERVoir CHRoNiCLE  Vol. 6,CLAMP/William Flanagan,7/26/2005
9780345477910,Tsubasa: RESERVoir CHRoNiCLE  Vol. 04 (Tsubasa: RESERVoir CHRoNiCLE  #4),CLAMP/William Flanagan,1/25/2005
9780345484291,Tsubasa: RESERVoir CHRoNiCLE  Vol. 09,CLAMP/William Flanagan,4/25/2006
9780345485328,Tsubasa: RESERVoir CHRoNiCLE  Vol. 12,CLAMP/William Flanagan,1/30/2007
9784063633382,ツバサ-RESERVoir CHRoNiCLE- 4,CLAMP,2/17/2004
9784063633931,ツバサ-RESERVoir CHRoNiCLE- 6,CLAMP,6/17/2004
9784063633221,ツバサ-RESERVoir CHRoNiCLE- 3,CLAMP,12/17/2003
9784063634167,ツバサ-RESERVoir CHRoNiCLE- 7,CLAMP,8/17/2004
9784063634525,ツバサ-RESERVoir CHRoNiCLE- 8,CLAMP,11/17/2004
9781421506418,Hikaru no Go  Vol. 7: The Young Lions Tournament (Hikaru no Go  #7),Yumi Hotta/Takeshi Obata,7/5/2006
9781421506425,Hikaru no Go  Vol. 8: The Pro Test Preliminaries: Day Four (Hikaru no Go  #8),Yumi Hotta/Takeshi Obata,11/7/2006
9781591162223,Hikaru no Go  Vol. 1: Descent of the Go Master (Hikaru no Go  #1),Yumi Hotta/Takeshi Obata,5/19/2004
9781421510668,Hikaru no Go  Vol. 9: The Pro Test Begins (Hikaru no Go  #9),Yumi Hotta/Takeshi Obata/Yukari Umezawa,4/3/2007
9781421510675,Hikaru no Go  Vol. 10: Lifeline (Hikaru no Go  #10),Yumi Hotta/Takeshi Obata,8/7/2007
9784088732893,ヒカルの碁 18、番外編,Yumi Hotta/Yumi Hotta,8/2/2002
9784088735047,ヒカルの碁 23、あなたに呼びかけている,Yumi Hotta/Yumi Hotta,9/4/2003
9784088728735,ヒカルの碁 7、若獅子戦,Yumi Hotta/Yumi Hotta,6/7/2000
9784088732152,ヒカルの碁 15、さよなら,Yumi Hotta/Yumi Hotta,12/24/2001
9784088731445,ヒカルの碁 13、プロ第一戦,Yumi Hotta/Yumi Hotta,8/8/2001
9784088731698,ヒカルの碁 14、sai vs toya koyo,Yumi Hotta/Yumi Hotta,10/9/2001
9784088732329,ヒカルの碁 16、中国棋院,Yumi Hotta/Yumi Hotta,3/4/2002
9784088728490,ヒカルの碁 6、院生試験,Yumi Hotta/Takeshi Obata,4/9/2000
9784088730226,ヒカルの碁 9、本戦開始,Yumi Hotta/Yumi Hotta,10/9/2000
9784088734323,ヒカルの碁 22、打倒高永夏,Yumi Hotta/Yumi Hotta,6/4/2003
9784088731100,ヒカルの碁 12、新初段シリーズ,Yumi Hotta/Yumi Hotta,5/6/2001
9781421506296,Death Note  Vol. 8: Target (Death Note  #8),Tsugumi Ohba/Takeshi Obata/Tetsuichiro Miyaki,11/7/2006
9781421501680,Death Note  Vol. 1: Boredom (Death Note  #1),Tsugumi Ohba/Takeshi Obata/Pookie Rolf,10/10/2005
9781421503318,Death Note  Vol. 4: Love (Death Note  #4),Tsugumi Ohba/Alexis Kirsch,3/7/2006
9781421506265,Death Note  Vol. 5: Whiteout (Death Note  #5),Tsugumi Ohba/Takeshi Obata/Alexis Kirsch,5/2/2006
9781421501703,Death Note  Vol. 3: Hard Run (Death Note  #3),Tsugumi Ohba/Takeshi Obata/Pookie Rolf,1/3/2006
9781421501697,Death Note  Vol. 2: Confluence (Death Note  #2),Tsugumi Ohba/Takeshi Obata/Pookie Rolf,11/1/2005
9781421506272,Death Note  Vol. 6: Give-and-Take (Death Note  #6),Tsugumi Ohba/Takeshi Obata/Alexis Kirsch,7/5/2006
9781421506289,Death Note  Vol. 7: Zero (Death Note  #7),Tsugumi Ohba/Takeshi Obata/Alexis Kirsch,9/5/2006
9781421506302,Death Note  Vol. 9: Contact (Death Note  #9),Tsugumi Ohba/Takeshi Obata/Tetsuichiro Miyaki,1/2/2007
9781421511559,Death Note  Vol. 10: Deletion (Death Note  #10),Tsugumi Ohba/Takeshi Obata/Tetsuichiro Miyaki,3/6/2007
9780486447407,The Worm Ouroboros,E.R. Eddison/Keith   Henderson,4/28/2006
9780345272201,Mistress of Mistresses: A Vision of Zimiamvia (The Zimiamvian Trilogy  #1),E.R. Eddison/Gerald Ravenscourt Hayes/Keith   Henderson,12/12/1977
9780345272218,The Mezentian Gate,E.R. Eddison,4/12/1978
9780201835953,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,8/12/1995
9781593075422,Museum of Terror  Vol. 1: Tomie 1,Junji Ito/伊藤潤二/Naomi Kokubo,8/8/2006
9781593076122,Museum of Terror  Vol. 2: Tomie 2,Junji Ito/伊藤潤二/Naomi Kokubo,9/19/2006
9781593076399,Museum of Terror  Vol. 3: The Long Hair in the Attic,Junji Ito/伊藤潤二,11/21/2006
9781588990846,Tomie 1  富江,Junji Ito/伊藤潤二,4/4/2005
9781588990853,Tomie 2  富江 Part 2,Junji Ito/伊藤潤二,4/4/2005
9782723441780,Hana Yori Dango: Le jeu da la fin du monde 1 (Boys Over Flowers  #1),Yōko Kamio/神尾葉子,3/5/2003
9782723442312,Hana Yori Dango 3 (Boys Over Flowers  #3),Yōko Kamio/神尾葉子,6/18/2003
9782723442305,Hana Yori Dango 2 (Boys Over Flowers  #2),Yōko Kamio/神尾葉子,5/14/2003
9780152056780,Voices (Annals of the Western Shore  #2),Ursula K. Le Guin,9/1/2006
9780152051242,Gifts (Annals of the Western Shore  #1),Ursula K. Le Guin,4/1/2006
9781570623950,Lao Tzu: Tao Te Ching: A Book about the Way and the Power of the Way,Lao Tzu/Ursula K. Le Guin/J.P. Seaton,10/20/1998
9781590300060,The Wave in the Mind: Talks and Essays on the Writer  the Reader and the Imagination,Ursula K. Le Guin,2/17/2004
9780061054884,The Dispossessed,Ursula K. Le Guin,10/20/1994
9780517480106,Five Complete Novels,Ursula K. Le Guin,9/4/1985
9780689845338,Tehanu (Earthsea Cycle  #4),Ursula K. Le Guin,9/1/2001
9780441012244,Changing Planes,Ursula K. Le Guin,8/1/2005
9780441011254,The Other Wind (Earthsea Cycle  #6),Ursula K. Le Guin/Samuel Roukin,9/30/2003
9780441011247,Tales from Earthsea (Earthsea Cycle  #5),Ursula K. Le Guin,10/28/2003
9780439551922,Jane on Her Own (Catwings  #4),Ursula K. Le Guin/S.D. Schindler,10/1/2006
9781416509639,Tehanu (Earthsea Cycle  #4),Ursula K. Le Guin,11/23/2004
9780689845369,The Tombs of Atuan (Earthsea Cycle  #2),Ursula K. Le Guin/Margot Paronis,9/1/2001
9780439551892,Catwings (Catwings #1),Ursula K. Le Guin/S.D. Schindler,5/1/2003
9780531068519,Wonderful Alexander and the Catwings,Ursula K. Le Guin/S.D. Schindler,9/1/1994
9781416509646,The Farthest Shore (Earthsea Cycle  #3),Ursula K. Le Guin,11/1/2004
9781857442021,The Life and Games of Mikhail Tal,Mikhail Tal/Iakov Damsky/Kenneth P. Neat,7/1/1997
9781888690088,Tal-Botvinnik 1960,Mikhail Tal/Hanon W. Russell,7/3/2001
9780140449099,Don Quixote,Miguel de Cervantes Saavedra/John Rutherford,1/30/2003
9781413902624,Cromartie High School  Vol. 06,Eiji Nonaka/Brendan Frayne,6/6/2006
9781413902617,Cromartie High School  Vol. 05,Eiji Nonaka/Brendan Frayne,3/21/2006
9781413902570,Cromartie High School  Vol. 01,Eiji Nonaka/Brendan Frayne,3/1/2005
9781413902587,Cromartie High School  Vol. 02,Eiji Nonaka/Brendan Frayne,6/14/2005
9781421506142,Bleach  Volume 16,Tite Kubo,12/5/2006
9781421506111,Bleach  Volume 13,Tite Kubo,6/6/2006
9781421500812,Bleach  Volume 10,Tite Kubo,12/6/2005
9781421510422,Bleach  Volume 18,Tite Kubo,4/3/2007
9781421510415,Bleach  Volume 17,Tite Kubo,2/6/2007
9781421510439,Bleach  Volume 19,Tite Kubo,6/5/2007
9781421510446,Bleach  Volume 20,Tite Kubo,8/7/2007
9781598169461,The Twelve Kingdoms: Sea of Shadow (The Twelve Kingdoms  #1),Fuyumi Ono/小野 不由美/Akihiro Yamada/山田 章博/Elye J. Alexander/Alexander O. Smith,3/13/2007
9780425058503,Twelve Fair Kingdoms,Suzette Haden Elgin,3/1/1983
9781598165760,Crest of the Stars 2: A Modest War  (Seikai no Monshou  #2),Hiroyuki Morioka,1/1/2007
9781598165777,Crest of the Stars 3: Return to a Strange World  (Seikai no Monshou  #3),Hiroyuki Morioka,5/1/2007
9780316013260,Julie and Julia: My Year of Cooking Dangerously,Julie Powell,9/7/2006
9780316109697,Julie and Julia: 365 Days  524 Recipes  1 Tiny Apartment Kitchen,Julie Powell,9/1/2005
9780679761068,The Master of Go,Yasunari Kawabata/Edward G. Seidensticker,5/28/1996
9780060747459,Conrad's Fate (Chrestomanci  #5),Diana Wynne Jones,5/9/2006
9780451218377,Rocketman: Astronaut Pete Conrad's Incredible Ride to the Moon and Beyond,Nancy Conrad/Howard A. Klausner/Buzz Aldrin,5/1/2006
9781421505565,Red River  Vol. 14 (Red River  #14),Chie Shinohara,9/12/2006
9781421505572,Red River  Vol. 15 (Red River  #15),Chie Shinohara,11/1/2006
9781421505589,Red River  Vol. 16 (Red River  #16),Chie Shinohara,1/1/2007
9781421509976,Red River  Vol. 17 (Red River  #17),Chie Shinohara,4/10/2007
9781595324382,Tramps Like Us  Volume 8,Yayoi Ogawa,2/7/2006
9781595324399,Tramps Like Us  Volume 9,Yayoi Ogawa,6/1/2006
9781598161984,Tramps Like Us  Volume 11,Yayoi Ogawa,2/1/2007
9781598161991,Tramps Like Us  Volume 12,Yayoi Ogawa,6/1/2007
9784063405149,きみはペット 11 [Kimi wa Petto 11],Yayoi Ogawa/小川 彌生,11/12/2004
9781553377528,Suki's Kimono,Chieri Uegaki/Stéphane Jorisch,9/1/2005
9780312422240,The Interpreter,Suki Kim,1/1/2004
9781585678839,The Thousandfold Thought (The Prince of Nothing  #3),R. Scott Bakker,1/30/2007
9780060792787,Flight of the Nighthawks (The Darkwar Saga  #1),Raymond E. Feist,4/11/2006
9780553564945,Magician: Apprentice (The Riftwar Saga  #1),Raymond E. Feist,1/1/1994
9780060792800,Into a Dark Realm (The Darkwar Saga  #2),Raymond E. Feist,3/27/2007
9780809530953,Manna from Heaven,Roger Zelazny/Scott Zrubeck/Steven Brust,5/29/2006
9780060567231,Lord of Light,Roger Zelazny,3/30/2010
9781596871328,Roger Zelazny's To Rule in Amber (The Dawn of Amber  #3),John Gregory Betancourt/Roger Zelazny,10/1/2005
9780375814686,Terrier (Beka Cooper  #1),Tamora Pierce,10/24/2006
9780689878558,Alanna: The First Adventure (Song of the Lioness  #1),Tamora Pierce,1/1/2005
9780375829635,Young Warriors: Stories of Strength,Tamora Pierce/Josepha Sherman/Margaret Mahy/Lesley McBain/Mike Resnick/Bruce Rogers/Pamela F. Service/Jan Stirling/Holly Black/Doranna Durgin/India Edghill/Rosemary Edghill/Esther M. Friesner/Laura Anne Gilman/Janis Ian/Brett Hartinge,10/24/2006
9781416903376,Emperor Mage (Immortals  #3),Tamora Pierce,6/1/2005
9781416908173,The Realms of the Gods (Immortals  #4),Tamora Pierce,1/1/2006
9780689878565,In the Hand of the Goddess (Song of the Lioness  #2),Tamora Pierce,1/1/2005
9781416903437,Wild Magic (Immortals  #1),Tamora Pierce,6/1/2005
9780689878572,Lioness Rampant (Song of the Lioness  #4),Tamora Pierce,1/1/2005
9780375760396,The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan,5/28/2002
9781596590939,The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan/Scott Brick,5/21/2007
9780753453346,More Milly Molly Mandy,Joyce Lankester Brisley,9/1/1999
9781586857028,Essence and Alchemy: A Natural History of Perfume,Mandy Aftel,1/31/2007
9780060530839,The Lion  the Witch and the Wardrobe,C.S. Lewis/Pauline Baynes,11/4/2003
9780786940738,Promise of the Witch King (Forgotten Realms: The Sellswords  #2),R.A. Salvatore,9/12/2006
9780552152969,Witches Abroad (Discworld  #12),Terry Pratchett,8/1/2005
9780689855924,The Wizard's Apprentice (The Keepers  #2),Jackie French Koller/Rebecca Guay,12/1/2003
9780553267600,Magician: Apprentice (The Riftwar Saga  #1),Raymond E. Feist,12/1/1993
9780976401155,Magician: Apprentice (The Riftwar Saga  #1),Raymond E. Feist/Brett Booth,6/29/2006
9780375713347,Geek Love,Katherine Dunn,6/11/2002
9780679853954,Dear God  Help!!! Love  Earl,Barbara Park/Kenneth Lafreniere,7/11/2006
9780553588118,Prince of the Blood (Krondor's Sons  #1),Raymond E. Feist,12/18/2007
9780380973996,Shards of a Broken Crown (The Serpentwar Saga  #4),Raymond E. Feist,4/1/1998
9780380974733,Rage of a Demon King (The Serpentwar Saga  #3),Raymond E. Feist,4/1/1997
9780812550283,A Crown of Swords (The Wheel of Time  #7),Robert Jordan,11/15/1997
9780812575583,Winter's Heart (The Wheel of Time  #9),Robert Jordan,1/7/2002
9781857232097,The Fires of Heaven (The Wheel of Time  #5),Robert Jordan,7/4/1994
9780571212927,A Beautiful Mind,Sylvia Nasar,2/4/2002
9780091894603,How To Have A Beautiful Mind,Edward de Bono,6/3/2004
9780861713455,The State of Mind Called Beautiful,Sayadaw U. Pandita/Kate Wheeler/Swami Vivekananda,4/13/2006
9788817128711,Il genio dei numeri,Sylvia Nasar/Carlo Capararo/Sergio Mancini/Roberta Zuppet,2/1/2002
9780765345905,Wolfskin (Saga of the Light Isles  #1),Juliet Marillier,8/1/2004
9780765309969,Blade of Fortriu (The Bridei Chronicles  #2),Juliet Marillier,10/31/2006
9780765309983,The Dark Mirror (The Bridei Chronicles  #1),Juliet Marillier,6/13/2006
9780765345011,Child of the Prophecy (Sevenwaters  #3),Juliet Marillier,6/16/2003
9780765343260,Son of the Shadows (Sevenwaters  #2),Juliet Marillier,6/17/2002
9780375833649,Wildwood Dancing (Wildwood  #1),Juliet Marillier,1/23/2007
9780330411844,Foxmask (Saga of the Light Isles  #2),Juliet Marillier,3/18/2005
9780765345912,Foxmask (Saga of the Light Isles  #2),Juliet Marillier,11/1/2005
9780684854670,The Noonday Demon: An Atlas of Depression,Andrew Solomon,4/2/2002
9780099277132,The Noonday Demon: An Anatomy of Depression,Andrew Solomon,4/4/2002
9780061196683,My Secret: A PostSecret Book,Frank Warren,10/24/2006
9780061198755,The Secret Lives of Men and Women: A PostSecret Book,Frank Warren,1/9/2007
